source,mean_fee,num_trans
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,0.56,1
02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,0.386,4
02005dcac896582db30f259c17bba1849a9e1127f60d120ec7db69c17ce64d749d,1.1163333333333334,3
02009947c197575f5a948e1e4343c41dc2e6122a9bd644629afb919f30e1115ff8,0.181,1
0200c06eaaef0ffc98447b5f0c5810c8325fc50fba4c509ebf558d67d1f088bdad,1.1300000000000001,4
0200c7ce2a4cd3d5e5f1ee5381b386c5cf25ea13048ee0efa425ccbe825c7a5c3d,601.06,2
0200dfda3cb0250b2d801d200155ec056958cf598a30ffd36c207340cb9f6645a3,16.34,2
020164d1a57b1af439a3a682c14369d6381b9e41bea956e42b8e9ea2b375cb85d0,0.9030000000000001,3
02018049d12985e79e36d12428b78c90a81ff4ab43431f3c81afb86caaccaaffb0,1.892666666666667,3
0201cc5c237368165ca4221526596205b4d747602c837e327621f19b7b415aa1f6,12.300166666666668,6
020211194bc7e5830673f87346e77f125c9eca59b308c041f9a54a62be8374f344,1.55075,4
020319f2b35e1e4bfac01bc557cf41ce4a7f4356942984dd3915d4cde22c67b734,1.22,1
020327bbd6b7ebf577a041e24cbdc0b3ddb6ec4a2ec89e271260fc9d6fbaccc80a,0.4905,2
020396bc005a542bce8f813a911d560ae0f7921030e563f2d81176a904e7b301e5,7.036,5
0203d0ca878eb8727a99b8c891e2c0e621731e8bf6d4d56736537ceccfb0dc828e,151.59,2
0203d2ba20e06eda01efad9c7247b448316f85e9848a829adb03af1306f974fafc,1.12,2
020425b428e51b983880a8450d01596fb161b3f78f3fc66285c8ead01bfc897556,1.2670000000000001,3
020465d7c75f6cbe5fd2ebf042b4f12cf07cd69704e53b46d3fb16a3555f545bb3,1.1806666666666668,3
02047c886946e215d4b0c4496d6ad6c37da6e89d22676b15a561ac35a7759ca464,2.907,1
0204a2b95b4c208383d7f02e741a8bfd5b5b7e8bea8d1543b1255da8342d9f2c6b,0.2305,4
0204e5a5ff14b090c1210cb99e7e616f840e0ef1b08fc9a268d13b7a2e5e997845,1.7500000000000002,2
0205160cc03c56ff1d0d96e5591f178bfdddde3ce4d425097a63e04f7e31a88472,20.353333333333335,3
0205501bd093a4e68ed5a9e2398465c0e659d60c108e1793119beacb3ac0890607,1.0750000000000002,4
0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,0.4733333333333334,3
